X	Y	X	Y	X	Y	X	Y	X	Y
89.01	0.007	89.01	0.028	89.01	0.941	89.01	40.576	89.01	50.466
89.25	0.087	89.25	0.028	89.25	0.94	89.25	40.532	89.25	50.464
89.583	0.198	89.583	0.028	89.583	0.94	89.583	40.477	89.583	50.462
89.99	0	89.99	0.028	89.99	0.94	89.99	40.415	89.99	50.46
90	0.003	90	0.028	90	0.94	90	40.413	90	50.46
90.01	0.007	90.01	0.028	90.01	0.94	90.01	40.412	90.01	50.46
90.25	0.087	90.25	0.028	90.25	0.94	90.25	40.379	90.25	50.459
90.583	0.198	90.583	0.028	90.583	0.939	90.583	40.338	90.583	50.457
90.99	0	90.99	0.028	90.99	0.939	90.99	40.295	90.99	50.455
91	0.003	91	0.028	91	0.939	91	40.294	91	50.455
91.01	0.007	91.01	0.028	91.01	0.939	91.01	40.293	91.01	50.455
91.25	0.087	91.25	0.028	91.25	0.939	91.25	40.27	91.25	50.454
91.583	0.198	91.583	0.027	91.583	0.939	91.583	40.243	91.583	50.453
91.99	0	91.99	0.027	91.99	0.938	91.99	40.216	91.99	50.451
92	0.003	92	0.027	92	0.938	92	40.215	92	50.451
92.01	0.007	92.01	0.027	92.01	0.938	92.01	40.214	92.01	50.451
92.25	0.087	92.25	0.027	92.25	0.938	92.25	40.201	92.25	50.451
92.583	0.198	92.583	0.027	92.583	0.938	92.583	40.187	92.583	50.449
92.99	0	92.99	0.027	92.99	0.938	92.99	40.174	92.99	50.448
93	0.003	93	0.027	93	0.938	93	40.174	93	50.448
93.01	0.007	93.01	0.027	93.01	0.938	93.01	40.174	93.01	50.448
93.25	0.087	93.25	0.027	93.25	0.938	93.25	40.169	93.25	50.447
93.583	0.198	93.583	0.027	93.583	0.938	93.583	40.166	93.583	50.447
93.99	0	93.99	0.027	93.99	0.938	93.99	40.166	93.99	50.446
94	0.003	94	0.027	94	0.938	94	40.166	94	50.446
94.01	0.007	94.01	0.027	94.01	0.938	94.01	40.166	94.01	50.446
94.25	0.087	94.25	0.027	94.25	0.938	94.25	40.169	94.25	50.445
94.583	0.198	94.583	0.027	94.583	0.938	94.583	40.176	94.583	50.444
94.99	0	94.99	0.027	94.99	0.938	94.99	40.188	94.99	50.443
95	0.003	95	0.027	95	0.938	95	40.189	95	50.443
95.01	0.007	95.01	0.027	95.01	0.938	95.01	40.189	95.01	50.443
95.25	0.087	95.25	0.027	95.25	0.938	95.25	40.199	95.25	50.443
95.583	0.198	95.583	0.027	95.583	0.939	95.583	40.214	95.583	50.442
95.99	0	95.99	0.027	95.99	0.939	95.99	40.237	95.99	50.442
96	0.003	96	0.027	96	0.939	96	40.238	96	50.442
